1.46E+02	1.15E+02	2.62E+15	8.53E-27	1.36E-26	0.62657
1.47E+02	1.16E+02	2.60E+15	1.25E-26	1.96E-26	0.63922
1.48E+02	1.17E+02	2.57E+15	1.74E-26	2.72E-26	0.63948
1.49E+02	1.18E+02	2.55E+15	2.57E-26	3.58E-26	0.71973
1.50E+02	1.19E+02	2.53E+15	3.41E-26	7.56E-26	0.4504
1.51E+02	1.20E+02	2.51E+15	2.31E-26	1.11E-25	0.20895
1.52E+02	1.21E+02	2.49E+15	1.84E-26	1.61E-25	0.11448
1.53E+02	1.22E+02	2.47E+15	1.10E-26	2.32E-25	0.0476
1.54E+02	1.23E+02	2.45E+15	4.17E-26	3.32E-25	0.12559
1.55E+02	1.24E+02	2.43E+15	9.96E-26	4.73E-25	0.2106
1.56E+02	1.25E+02	2.41E+15	2.52E-25	3.53E-25	0.71496
1.57E+02	1.26E+02	2.39E+15	4.38E-25	6.48E-25	0.67634
1.58E+02	1.27E+02	2.37E+15	6.50E-25	1.04E-24	0.62497
1.59E+02	1.28E+02	2.35E+15	1.04E-24	1.54E-24	0.67853
1.60E+02	1.29E+02	2.33E+15	1.22E-24	2.21E-24	0.55059
1.61E+02	1.30E+02	2.32E+15	1.89E-24	3.10E-24	0.60889
1.62E+02	1.31E+02	2.30E+15	2.29E-24	4.28E-24	0.53481
1.63E+02	1.32E+02	2.28E+15	3.56E-24	5.82E-24	0.61155
1.64E+02	1.33E+02	2.26E+15	4.41E-24	7.80E-24	0.56501
1.65E+02	1.34E+02	2.25E+15	5.76E-24	1.03E-23	0.55779
1.66E+02	1.35E+02	2.23E+15	7.80E-24	1.36E-23	0.57475
1.67E+02	1.36E+02	2.21E+15	1.09E-23	1.77E-23	0.61298
1.68E+02	1.37E+02	2.20E+15	1.37E-23	2.31E-23	0.59337
1.69E+02	1.38E+02	2.18E+15	1.72E-23	2.98E-23	0.5759
1.70E+02	1.39E+02	2.16E+15	2.19E-23	3.86E-23	0.56809
1.71E+02	1.40E+02	2.15E+15	2.83E-23	5.00E-23	0.56563
1.72E+02	1.41E+02	2.13E+15	4.25E-23	6.50E-23	0.65441
1.73E+02	1.42E+02	2.12E+15	5.76E-23	8.49E-23	0.67787
1.74E+02	1.43E+02	2.10E+15	6.86E-23	1.12E-22	0.61453
1.75E+02	1.44E+02	2.09E+15	1.04E-22	1.47E-22	0.70347
1.76E+02	1.44E+02	2.08E+15	1.33E-22	1.79E-22	0.741
1.77E+02	1.45E+02	2.07E+15	1.34E-22	2.06E-22	0.64941
1.78E+02	1.46E+02	2.06E+15	1.83E-22	2.58E-22	0.70711
1.79E+02	1.47E+02	2.05E+15	2.54E-22	3.42E-22	0.74401
1.80E+02	1.48E+02	2.03E+15	2.92E-22	4.51E-22	0.64896
1.81E+02	1.49E+02	2.02E+15	3.97E-22	5.92E-22	0.67047
1.82E+02	1.50E+02	2.01E+15	5.97E-22	7.76E-22	0.76941
1.83E+02	1.51E+02	1.99E+15	8.48E-22	1.01E-21	0.83719
1.84E+02	1.51E+02	1.98E+15	7.71E-22	1.22E-21	0.63325
1.85E+02	1.52E+02	1.98E+15	1.04E-21	1.52E-21	0.6894
1.86E+02	1.53E+02	1.97E+15	1.46E-21	2.43E-21	0.602
1.87E+02	1.54E+02	1.95E+15	2.20E-21	3.46E-21	0.6379
1.88E+02	1.55E+02	1.94E+15	2.18E-21	4.36E-21	0.5003
1.89E+02	1.56E+02	1.93E+15	3.21E-21	5.52E-21	0.58138
1.90E+02	1.57E+02	1.92E+15	3.52E-21	7.03E-21	0.50112
1.91E+02	1.58E+02	1.90E+15	8.23E-21	3.03E-20	0.2715
