208	173.5	1.73E+15	1.40E-03	1.62E-03	0.86703
209	174.5	1.72E+15	1.39E-03	1.61E-03	0.86838
210	175.5	1.71E+15	1.39E-03	1.60E-03	0.87351
211	176.5	1.70E+15	1.39E-03	1.59E-03	0.87841
212	177.5	1.69E+15	1.35E-03	1.58E-03	0.85639
213	178.5	1.68E+15	1.38E-03	1.57E-03	0.88146
214	179.5	1.67E+15	1.38E-03	1.56E-03	0.88693
215	180.5	1.66E+15	1.39E-03	1.55E-03	0.90068
216	181.5	1.65E+15	1.34E-03	1.54E-03	0.8709
217	182.5	1.64E+15	1.35E-03	1.53E-03	0.88527
218	183.5	1.63E+15	1.35E-03	1.52E-03	0.88952
219	184.5	1.62E+15	1.28E-03	1.51E-03	0.84415
220	185.5	1.62E+15	1.31E-03	1.50E-03	0.87406
221	186.5	1.61E+15	1.33E-03	1.49E-03	0.89141
222	187.5	1.60E+15	1.33E-03	1.48E-03	0.89858
223	188.5	1.59E+15	1.26E-03	1.48E-03	0.85085
224	189.5	1.58E+15	1.22E-03	1.47E-03	0.82866
225	190.5	1.57E+15	1.27E-03	1.46E-03	0.87421
226	191.5	1.57E+15	1.25E-03	1.45E-03	0.86127
227	192.5	1.56E+15	1.19E-03	1.44E-03	0.8236
228	193.5	1.55E+15	1.26E-03	1.43E-03	0.88289
229	194.5	1.54E+15	1.30E-03	1.42E-03	0.91163
230	195.5	1.53E+15	1.19E-03	1.42E-03	0.84344
231	196.7	1.52E+15	1.27E-03	1.41E-03	0.9014
232	197.6	1.52E+15	1.32E-03	1.40E-03	0.94202
233	198.4	1.51E+15	1.26E-03	1.39E-03	0.90452
234	199.5	1.50E+15	1.25E-03	1.38E-03	0.9018
235	200.5	1.50E+15	1.28E-03	1.37E-03	0.92966
236	201.5	1.49E+15	1.28E-03	1.37E-03	0.93988
237	202.5	1.48E+15	1.30E-03	1.36E-03	0.95952
238	203.5	1.47E+15	1.24E-03	1.35E-03	0.91933
239	204.5	1.47E+15	1.25E-03	1.34E-03	0.92972
240	205.5	1.46E+15	1.10E-03	1.35E-03	0.81522
241	206.5	1.45E+15	1.09E-03	1.34E-03	0.80871
242	207.4	1.45E+15	1.14E-03	1.34E-03	0.85548
243	207.8	1.44E+15	1.11E-03	1.33E-03	0.82978
244	208.5	1.44E+15	1.17E-03	1.33E-03	0.87984
245	209.5	1.43E+15	1.19E-03	1.32E-03	0.89836
246	210.5	1.42E+15	1.23E-03	1.31E-03	0.93528
247	211.5	1.42E+15	1.24E-03	1.30E-03	0.94883
248	212.5	1.41E+15	1.24E-03	1.30E-03	0.95727
249	213.5	1.40E+15	1.23E-03	1.29E-03	0.95722
250	214.5	1.40E+15	1.21E-03	1.28E-03	0.94265
251	215.5	1.39E+15	1.24E-03	1.27E-03	0.96958
252	216.5	1.38E+15	1.21E-03	1.27E-03	0.95765
253	217.5	1.38E+15	1.22E-03	1.26E-03	0.97227
254	218.5	1.37E+15	1.21E-03	1.25E-03	0.96272
255	219.5	1.37E+15	1.23E-03	1.25E-03	0.98394
256	220.5	1.36E+15	1.22E-03	1.24E-03	0.98547
257	221.5	1.35E+15	1.20E-03	1.23E-03	0.97607
258	222.5	1.35E+15	1.20E-03	1.22E-03	0.98031
259	223.5	1.34E+15	1.19E-03	1.22E-03	0.97632
260	224.5	1.34E+15	1.19E-03	1.21E-03	0.98361
261	225.5	1.33E+15	1.17E-03	1.20E-03	0.9725
262	226.5	1.32E+15	1.18E-03	1.20E-03	0.98644
263	227.5	1.32E+15	1.18E-03	1.19E-03	0.98873
264	228.5	1.31E+15	1.16E-03	1.18E-03	0.98469
265	229.5	1.31E+15	1.06E-03	1.18E-03	0.899
266	230.5	1.30E+15	1.14E-03	1.17E-03	0.97386
267	231.5	1.30E+15	1.14E-03	1.16E-03	0.97702
268	232.5	1.29E+15	1.14E-03	1.16E-03	0.98228
269	233.5	1.28E+15	1.12E-03	1.15E-03	0.97834
270	234.5	1.28E+15	1.13E-03	1.14E-03	0.98856
